id,gender,age,income,became_member_on
1,,,,2017-02-12
2,F,55.0,112000.0,2017-07-15
3,,,,2018-07-12
4,F,75.0,100000.0,2017-05-09
5,,,,2017-08-04
6,M,68.0,70000.0,2018-04-26
7,,,,2017-09-25
8,,,,2017-10-02
9,M,65.0,53000.0,2018-02-09
10,,,,2016-11-22
11,,,,2017-08-24
12,,,,2015-09-19
13,M,58.0,51000.0,2017-11-11
14,F,61.0,57000.0,2017-09-11
15,M,26.0,46000.0,2014-02-13
16,F,62.0,71000.0,2016-02-11
17,M,49.0,52000.0,2014-11-13
18,,,,2017-08-01
19,M,57.0,42000.0,2017-12-31
20,F,61.0,40000.0,2018-05-01
21,F,40.0,71000.0,2016-05-04
22,M,64.0,100000.0,2017-09-09
23,F,78.0,71000.0,2017-06-16
24,,,,2017-09-07
25,M,42.0,69000.0,2013-08-11
26,F,56.0,88000.0,2018-04-28
27,,,,2017-03-30
28,F,33.0,52000.0,2017-09-26
29,F,46.0,59000.0,2017-09-11
30,M,59.0,41000.0,2015-01-21
31,M,67.0,96000.0,2014-08-23
32,O,53.0,52000.0,2017-09-16
33,M,22.0,70000.0,2017-09-25
34,F,96.0,89000.0,2017-11-17
35,M,40.0,33000.0,2016-07-09
36,F,69.0,57000.0,2016-08-14
37,,,,2016-07-07
38,M,56.0,68000.0,2014-05-11
39,F,26.0,63000.0,2017-08-12
40,,,,2018-01-13
41,M,75.0,40000.0,2015-11-12
42,F,20.0,30000.0,2016-07-11
43,M,45.0,33000.0,2018-07-07
44,M,61.0,98000.0,2017-11-21
45,,,,2014-11-11
46,,,,2017-05-11
47,F,69.0,37000.0,2013-09-18
48,F,54.0,80000.0,2017-02-07
49,M,39.0,51000.0,2014-05-27
50,F,41.0,41000.0,2015-09-21
51,F,79.0,48000.0,2015-04-15
52,F,66.0,38000.0,2018-04-08
53,F,56.0,52000.0,2017-06-26
54,F,39.0,56000.0,2014-07-23
55,,,,2017-05-28
56,M,42.0,96000.0,2016-01-17
57,,,,2017-10-13
58,,,,2015-12-20
59,F,78.0,93000.0,2016-10-09
60,M,45.0,48000.0,2017-10-06
61,M,29.0,50000.0,2016-04-30
62,M,44.0,35000.0,2017-09-24
63,M,63.0,56000.0,2018-07-13
64,M,36.0,56000.0,2017-12-28
65,F,76.0,47000.0,2018-03-14
66,M,68.0,87000.0,2017-08-23
67,M,75.0,52000.0,2015-11-29
68,M,67.0,76000.0,2017-02-26
69,M,77.0,51000.0,2016-07-30
70,M,76.0,64000.0,2014-08-31
71,M,57.0,98000.0,2018-02-07
72,F,53.0,72000.0,2016-07-06
73,F,53.0,117000.0,2016-12-31
74,F,53.0,55000.0,2017-10-26
75,F,61.0,112000.0,2017-11-10
76,F,67.0,77000.0,2016-09-10
77,F,58.0,85000.0,2018-01-25
78,F,46.0,36000.0,2018-06-29
79,M,30.0,41000.0,2017-12-02
80,M,59.0,89000.0,2017-08-20
81,,,,2017-09-18
82,M,51.0,41000.0,2015-12-31
83,M,27.0,35000.0,2018-01-10
84,M,40.0,53000.0,2018-02-27
85,,,,2015-09-20
86,F,73.0,91000.0,2018-04-19
87,F,74.0,107000.0,2015-12-24
88,M,42.0,66000.0,2015-11-21
89,M,78.0,58000.0,2015-11-11
90,F,54.0,53000.0,2016-12-25
91,F,70.0,74000.0,2018-06-13
92,F,49.0,57000.0,2017-04-08
93,F,62.0,57000.0,2018-04-10
94,M,64.0,70000.0,2017-03-05
95,F,89.0,87000.0,2017-11-14
96,M,73.0,51000.0,2018-04-01
97,,,,2016-08-06
98,F,50.0,93000.0,2017-05-06
99,F,90.0,98000.0,2015-12-10
100,F,68.0,84000.0,2016-07-31
101,M,60.0,64000.0,2017-02-06
102,M,45.0,54000.0,2017-08-15
103,M,66.0,49000.0,2016-01-24
104,,,,2017-02-23
105,,,,2017-08-23
106,F,19.0,73000.0,2016-10-15
107,F,66.0,58000.0,2018-02-16
108,F,72.0,72000.0,2016-08-11
109,,,,2016-01-30
110,M,76.0,63000.0,2016-04-07
111,M,52.0,78000.0,2017-05-15
112,M,55.0,31000.0,2017-12-10
113,F,39.0,60000.0,2017-09-19
114,F,45.0,44000.0,2016-01-26
115,F,57.0,114000.0,2017-07-04
116,M,74.0,48000.0,2018-07-12
117,M,18.0,47000.0,2016-07-27
118,M,53.0,96000.0,2017-09-27
119,F,59.0,98000.0,2017-09-10
120,M,57.0,46000.0,2014-11-04
121,F,51.0,56000.0,2017-08-13
122,,,,2015-07-30
123,,,,2017-11-25
124,F,64.0,37000.0,2017-10-20
125,M,71.0,57000.0,2017-01-29
126,F,64.0,66000.0,2017-04-21
127,M,83.0,46000.0,2018-01-27
128,M,26.0,71000.0,2017-12-11
129,,,,2016-04-18
130,F,29.0,58000.0,2018-03-21
131,M,43.0,70000.0,2017-09-15
132,F,89.0,65000.0,2018-01-14
133,F,49.0,79000.0,2018-05-18
134,M,79.0,67000.0,2016-06-27
135,F,55.0,94000.0,2017-10-16
136,M,55.0,66000.0,2017-12-03
137,M,45.0,31000.0,2017-10-07
138,M,52.0,30000.0,2018-01-30
139,M,39.0,55000.0,2016-04-04
140,M,77.0,69000.0,2018-07-02
141,M,66.0,60000.0,2018-07-09
142,F,69.0,87000.0,2017-09-27
143,M,74.0,53000.0,2014-08-20
144,,,,2016-10-18
145,F,75.0,87000.0,2018-07-12
146,F,59.0,85000.0,2015-09-09
147,M,47.0,66000.0,2013-12-30
148,M,20.0,69000.0,2018-05-28
149,M,60.0,108000.0,2017-04-26
150,M,65.0,61000.0,2018-03-15
151,M,33.0,43000.0,2015-04-21
152,F,39.0,67000.0,2017-12-17
153,M,49.0,59000.0,2018-06-02
154,M,68.0,58000.0,2018-02-07
155,M,42.0,80000.0,2017-02-09
156,M,72.0,33000.0,2018-06-01
157,F,18.0,49000.0,2017-05-24
158,F,32.0,42000.0,2018-06-28
159,M,67.0,50000.0,2017-08-28
160,M,52.0,42000.0,2018-07-04
161,M,38.0,64000.0,2017-10-19
162,F,60.0,77000.0,2018-03-16
163,F,62.0,77000.0,2017-12-22
164,F,55.0,51000.0,2018-07-08
165,M,22.0,63000.0,2018-04-28
166,M,34.0,41000.0,2017-12-06
167,M,46.0,60000.0,2014-12-14
168,M,85.0,67000.0,2018-07-26
169,F,51.0,85000.0,2017-03-16
170,,,,2015-09-05
171,F,53.0,85000.0,2016-04-27
172,M,51.0,92000.0,2016-08-10
173,,,,2018-01-14
174,M,48.0,44000.0,2015-06-01
175,M,52.0,72000.0,2018-06-05
176,,,,2017-06-07
177,M,62.0,53000.0,2016-03-05
178,M,42.0,62000.0,2018-03-25
179,M,55.0,65000.0,2017-10-25
180,F,27.0,50000.0,2015-09-15
181,M,68.0,107000.0,2018-05-30
182,F,74.0,83000.0,2017-12-20
183,M,77.0,66000.0,2014-10-11
184,M,35.0,72000.0,2018-01-18
185,F,50.0,69000.0,2017-11-08
186,M,45.0,94000.0,2015-10-27
187,M,82.0,87000.0,2016-12-31
188,M,40.0,57000.0,2013-12-22
189,M,66.0,34000.0,2018-06-17
190,M,52.0,63000.0,2018-04-11
191,F,57.0,89000.0,2016-03-29
192,M,68.0,69000.0,2016-06-29
193,M,21.0,52000.0,2018-03-03
194,M,61.0,44000.0,2017-08-15
195,,,,2016-05-06
196,F,58.0,54000.0,2018-03-17
197,F,67.0,54000.0,2018-06-14
198,M,24.0,61000.0,2017-02-12
199,,,,2015-02-06
200,M,26.0,35000.0,2017-11-17
201,F,71.0,105000.0,2017-12-07
202,F,69.0,64000.0,2017-12-12
203,M,81.0,93000.0,2018-05-03
204,M,62.0,73000.0,2016-04-05
205,M,38.0,74000.0,2017-07-09
206,M,61.0,82000.0,2017-09-26
207,F,52.0,92000.0,2017-08-09
208,M,50.0,70000.0,2017-12-25
209,M,54.0,118000.0,2017-02-16
210,F,75.0,109000.0,2018-05-02
211,M,82.0,73000.0,2018-03-19
212,M,64.0,38000.0,2018-07-20
213,F,54.0,99000.0,2015-10-06
214,,,,2018-07-08
215,M,82.0,72000.0,2018-01-08
216,,,,2015-11-15
217,M,90.0,45000.0,2018-05-09
218,F,34.0,67000.0,2018-04-17
219,M,44.0,53000.0,2018-07-18
220,F,79.0,106000.0,2018-07-11
221,F,58.0,95000.0,2016-12-31
222,,,,2018-03-27
223,F,47.0,74000.0,2016-01-05
224,F,60.0,59000.0,2017-11-17
225,M,83.0,54000.0,2017-08-07
226,F,74.0,103000.0,2018-05-17
227,M,89.0,101000.0,2015-09-17
228,M,68.0,62000.0,2016-03-05
229,F,63.0,110000.0,2017-11-27
230,F,40.0,51000.0,2018-07-06
231,F,79.0,99000.0,2017-12-17
232,M,71.0,30000.0,2018-03-21
233,F,76.0,114000.0,2015-09-06
234,M,89.0,96000.0,2016-05-28
235,M,63.0,36000.0,2017-07-29
236,,,,2018-05-01
237,M,41.0,83000.0,2017-09-22
238,F,71.0,56000.0,2018-04-08
239,M,44.0,36000.0,2017-10-11
240,M,25.0,73000.0,2016-04-06
241,M,27.0,70000.0,2018-03-27
242,M,67.0,106000.0,2018-02-12
243,F,77.0,80000.0,2016-02-19
244,F,68.0,66000.0,2015-12-29
245,M,37.0,64000.0,2016-04-20
246,M,55.0,60000.0,2016-03-23
247,M,30.0,54000.0,2016-09-03
248,M,51.0,54000.0,2015-08-15
249,F,47.0,92000.0,2018-07-12
250,M,49.0,48000.0,2018-02-04
251,M,32.0,38000.0,2015-10-08
252,M,30.0,69000.0,2017-04-18
253,M,47.0,86000.0,2017-02-25
254,,,,2017-12-07
255,M,34.0,34000.0,2017-01-23
256,F,78.0,101000.0,2017-06-04
257,F,85.0,71000.0,2016-03-02
258,F,75.0,69000.0,2013-08-06
259,F,76.0,71000.0,2017-03-11
260,F,89.0,59000.0,2015-07-22
261,M,58.0,70000.0,2018-01-29
262,M,23.0,49000.0,2017-10-30
263,M,58.0,53000.0,2017-09-16
264,,,,2017-12-28
265,F,64.0,95000.0,2015-10-12
266,M,72.0,39000.0,2017-09-09
267,F,66.0,72000.0,2017-08-11
268,F,49.0,68000.0,2017-08-09
